ENSEMBL,ENTREZID,SYMBOL,type,pi_value_C10,pi_value_C18,pi_value_C19,pi_value_C10_C18_C19,description,summary_entrez,summary_genecard,summary_uniport,summary_Tocris,summary_CIViC
ENSG00000267228,NA,NA,NA,11.6747855064811,9.45991396846347,0.306452482441113,110.442466491576,NA,NA,NA,NA,NA,NA
ENSG00000260238,100527963,PMF1-BGLAP,Protein Coding,10.564999410173,2.90588444341092,2.15286558231066,66.0944102654492,PMF1-BGLAP Readthrough,Entrez Gene Summary for PMF1-BGLAP Gene This locus represents naturally occurring read-through transcription between the neighboring PMF1 (polyamine-modulated factor 1) and BGLAP (bone gamma-carboxyglutamate Gla protein) genes on chromosome 1. Alternative,GeneCards Summary for PMF1-BGLAP Gene PMF1-BGLAP (PMF1-BGLAP Readthrough) is a Protein Coding gene.An important paralog of this gene is PMF1. ,Additional gene information for PMF1-BGLAP Gene HGNC(42953)Entrez Gene(100527963)Ensembl(ENSG00000260238)UniProtKB(U3KQ54)UniProtKB(A0A087WT04) Monarch InitiativeSearch for PMF1-BGLAP at DataMedSearch for PMF1-BGLAP at HumanCyc,NA,NA
ENSG00000281887,100527949,GIMAP1-GIMAP5,Protein Coding,11.5544862890039,5.58755769516391,0.73618698013745,47.5292317521914,GIMAP1-GIMAP5 Readthrough,Entrez Gene Summary for GIMAP1-GIMAP5 Gene This locus represents naturally occurring readthrough transcription between the neighboring GIMAP1 (GTPase_ IMAP family member 1) and GIMAP5 (GTPase, IMAP family member 5) genes on chromosome 7. Alternative splic,GeneCards Summary for GIMAP1-GIMAP5 Gene GIMAP1-GIMAP5 (GIMAP1-GIMAP5 Readthrough) is a Protein Coding gene.An important paralog of this gene is GIMAP5. ,Additional gene information for GIMAP1-GIMAP5 Gene HGNC(51257)Entrez Gene(100527949)Ensembl(ENSG00000281887)UniProtKB(A0A087WTJ2) Search for GIMAP1-GIMAP5 at DataMedSearch for GIMAP1-GIMAP5 at HumanCyc,NA,NA
ENSG00000259753,NA,NA,NA,0.118261948324938,4.43815985372592,7.67717265425635,34.072519464243,NA,NA,NA,NA,NA,NA
ENSG00000262621,NA,NA,NA,6.10045483563519,0.0387127177567475,5.08319433328634,31.00979745097,NA,NA,NA,NA,NA,NA
ENSG00000250264,NA,NA,NA,0.311961592892681,3.58733896143528,6.93744266735991,24.8869583733437,NA,NA,NA,NA,NA,NA
ENSG00000256436,259290,TAS2R31,Protein Coding,3.26825065384996,0.264288358253298,7.3960639595372,24.1721908716736,Taste 2 Receptor Member 31,Entrez Gene Summary for TAS2R31 Gene TAS2R44 belongs to the large TAS2R receptor family. TAS2Rs are expressed on the surface of taste receptor cells and mediate the perception of bitterness through a G protein-coupled second messenger pathway (Conte et al,GeneCards Summary for TAS2R31 Gene TAS2R31 (Taste 2 Receptor Member 31) is a Protein Coding gene.Among its related pathways are Peptide ligand-binding receptors and Signaling by GPCR.Gene Ontology (GO) annotations related to this gene include G-protein co,UniProtKB/Swiss-Prot for TAS2R31 GeneT2R31_HUMAN_P59538Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this recepto,NA,NA
ENSG00000285901,NA,NA,NA,4.40661299614589,0.00150506282057867,5.01714111271885,22.1085992308047,NA,NA,NA,NA,NA,NA
ENSG00000281028,55300,PI4K2B,Protein Coding,4.82175982410688,4.49274583668207,0.0410362699526018,21.662941375237,Phosphatidylinositol 4-Kinase Type 2 Beta,Entrez Gene Summary for PI4K2B Gene This gene encodes a member of the type II PI4 kinase protein family. The encoded protein is primarily cytosolic and contributes to overall PI4-kinase activity along with other protein family members. This protein is inv,GeneCards Summary for PI4K2B Gene PI4K2B (Phosphatidylinositol 4-Kinase Type 2 Beta) is a Protein Coding gene.Among its related pathways are Metabolism and superpathway of inositol phosphate compounds.Gene Ontology (GO) annotations related to this gene in,UniProtKB/Swiss-Prot for PI4K2B GeneP4K2B_HUMAN_Q8TCG2Together with PI4K2A and the type III PI4Ks (PIK4CA and PIK4CB) it contributes to the overall PI4-kinase activity of the cell. This contribution may be especially significant in plasma membrane, endoso,NA,NA
ENSG00000271793,NA,NA,NA,8.35265298913579,0.64896296741017,3.79061792279446,20.5472812488056,NA,NA,NA,NA,NA,NA
ENSG00000124507,29993,PACSIN1,Protein Coding,4.90491169308827,4.15353652991442,0.0829835816263294,20.3727298932465,Protein Kinase C And Casein Kinase Substrate In Neurons 1,Additional gene information for PACSIN1 Gene HGNC(8570)Entrez Gene(29993)Ensembl(ENSG00000124507)OMIM(606512)UniProtKB(Q9BY11) Search for PACSIN1 at DataMedSearch for PACSIN1 at HumanCyc,GeneCards Summary for PACSIN1 Gene PACSIN1 (Protein Kinase C And Casein Kinase Substrate In Neurons 1) is a Protein Coding gene.Among its related pathways are Vesicle-mediated transport and Clathrin-mediated endocytosis.Gene Ontology (GO) annotations rela,UniProtKB/Swiss-Prot for PACSIN1 GenePACN1_HUMAN_Q9BY11Plays a role in the reorganization of the microtubule cytoskeleton via its interaction with MAPT; this decreases microtubule stability and inhibits MAPT-induced microtubule polymerization. Plays a rol,NA,NA
ENSG00000187498,1282,COL4A1,Protein Coding,5.09172847001497,0.0499785512743055,3.73199853276197,19.0023231793182,Collagen Type IV Alpha 1 Chain,Entrez Gene Summary for COL4A1 Gene This gene encodes a type IV collagen alpha protein. Type IV collagen proteins are integral components of basement membranes. This gene shares a bidirectional promoter with a paralogous gene on the opposite strand. The p,GeneCards Summary for COL4A1 Gene COL4A1 (Collagen Type IV Alpha 1 Chain) is a Protein Coding gene.Diseases associated with COL4A1 include Retinal Arteries_ Tortuosity Of and Schizencephaly.Among its related pathways are ERK Signaling and Focal Adhesion.G,UniProtKB/Swiss-Prot for COL4A1 GeneCO4A1_HUMAN_P02462Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a chicken-wire meshwork together with laminins, proteoglycans and entactin/nidogen. Arresten, comprisi,NA,NA
ENSG00000261459,NA,NA,NA,0.0200921096886261,3.87456088315285,4.90134215788371,18.9905485998842,NA,NA,NA,NA,NA,NA
ENSG00000265118,NA,NA,NA,2.56042272766018,6.94153223489494,0.397392893286862,17.7732568990108,NA,NA,NA,NA,NA,NA
ENSG00000130489,9997,SCO2,Protein Coding,0.000880407069204709,4.0459338969115,3.60902448823323,14.6018745117265,SCO2_ Cytochrome C Oxidase Assembly Protein,Entrez Gene Summary for SCO2 Gene Cytochrome c oxidase (COX) catalyzes the transfer of electrons from cytochrome c to molecular oxygen_ which helps to maintain the proton gradient across the inner mitochondrial membrane that is necessary for aerobic ATP p,GeneCards Summary for SCO2 Gene SCO2 (SCO2_ Cytochrome C Oxidase Assembly Protein) is a Protein Coding gene.Diseases associated with SCO2 include Myopia 6 and Cardioencephalomyopathy, Fatal Infantile, Due To Cytochrome C Oxidase Deficiency 1.Among its rel,UniProtKB/Swiss-Prot for SCO2 GeneSCO2_HUMAN_O43819Copper metallochaperone essential for the synthesis and maturation of cytochrome c oxidase subunit II (MT-CO2/COX2). Involved in transporting copper to the Cu(A) site on MT-CO2/COX2 (PubMed:15229189, PubM,NA,NA
ENSG00000235169,388588,SMIM1,Protein Coding,0.000221364973140029,3.37680454226054,3.81928070885855,12.8969644458416,Small Integral Membrane Protein 1 (Vel Blood Group),Entrez Gene Summary for SMIM1 Gene This gene encodes a small_ conserved protein that participates in red blood cell formation. The encoded protein is localized to the cell membrane and is the antigen for the Vel blood group. Alternative splicing results i,GeneCards Summary for SMIM1 Gene SMIM1 (Small Integral Membrane Protein 1 (Vel Blood Group)) is a Protein Coding gene.Diseases associated with SMIM1 include Blood Group_ Vel System and Blood Group Incompatibility. ,UniProtKB/Swiss-Prot for SMIM1 GeneSMIM1_HUMAN_B2RUZ4Regulator of red blood cell formation.,NA,NA
ENSG00000142494,55244,SLC47A1,Protein Coding,2.35194715413631,5.43099348411547,0.272357557167063,12.7734096690982,Solute Carrier Family 47 Member 1,Entrez Gene Summary for SLC47A1 Gene This gene is located within the Smith-Magenis syndrome region on chromosome 17. It encodes a protein of unknown function. [provided by RefSeq_ Jul 2008],GeneCards Summary for SLC47A1 Gene SLC47A1 (Solute Carrier Family 47 Member 1) is a Protein Coding gene.Among its related pathways are Transport of glucose and other sugars_ bile salts and organic acids, metal ions and amine compounds and Gefitinib Pathwa,UniProtKB/Swiss-Prot for SLC47A1 GeneS47A1_HUMAN_Q96FL8Solute transporter for tetraethylammonium (TEA), 1-methyl-4-phenylpyridinium (MPP), cimetidine, N-methylnicotinamide (NMN), metformin, creatinine, guanidine, procainamide, topotecan, estrone sulfate, ,NA,NA
